Title,Avg,Total,Total_males,Total_Females,All_below_18,All_18_29,All_30_44,All_over_45,Males_below_18,Males_18_29,Males_30_44,Males_over_45,Females_below_18,Females_18_29,Females_30_44,Females_over_45,Title_ID,All_rank_below_18,All_rank_18_29,All_rank_30_44,All_rank_over_45,Males_rank_below_18,Males_rank_18_29,Males_rank_30_44,Males_rank_over_45,Females_rank_below_18,Females_rank_18_29,Females_rank_30_44,Females_rank_over_45
Asura Guru,3.2,316,171,7,0,35,101,14,0,34,96,13,0,0,5,1,tt8011344,-,3.7,2.8,2.9,-,3.7,2.8,2.9,-,-,4.2,3.0
How to Get Away with Murder,8.2,"144,934","47,552","46,046",47,"28,255","44,193","12,849",22,"12,764","22,141","6,891",15,"14,263","20,820","5,601",tt3205802,7.6,8.5,8.0,7.5,8.1,8.4,7.8,7.2,5.9,8.6,8.3,8.0
Milea,6.4,537,158,60,3,93,84,10,1,63,69,7,2,27,13,3,tt11127878,6.0,6.5,5.7,5.9,10.0,6.7,5.7,6.5,4.0,6.4,5.9,5.0
Axone,6.9,"2,154","1,187",140,0,362,706,99,0,309,635,86,0,40,60,9,tt8747548,-,7.2,6.8,6.4,-,7.2,6.8,6.4,-,7.4,7.1,6.4
Da 5 Bloods,6.5,"49,670","30,556","3,025",42,"6,957","17,288","7,179",31,"6,096","15,469","6,337",6,583,"1,470",688,tt9777644,7.1,6.9,6.4,6.1,7.6,6.9,6.4,6.0,5.1,6.7,6.4,6.6
Dating Around,6.3,"1,193",402,416,0,195,468,115,0,75,231,61,0,106,227,49,tt9654080,-,6.4,6.2,6.2,-,6.7,6.2,5.9,-,6.1,6.2,6.8
F is for Family,8.0,"35,534","19,250","3,362",40,"5,953","11,970","2,601",29,"4,729","10,095","2,181",7,959,"1,626",372,tt4326894,7.6,8.0,7.9,7.9,7.9,8.0,8.0,7.9,6.3,8.0,7.9,7.8
Frank Elstner: Just One Last Question,7.6,81,46,6,1,10,33,7,0,8,28,5,0,0,4,1,tt12416844,7.0,8.3,7.3,5.2,-,8.1,7.2,5.6,-,-,8.5,1.0
Jo Koy: In His Elements,5.3,470,256,89,0,34,195,89,0,24,144,66,0,9,48,21,tt12357266,-,5.3,5.4,5.1,-,5.2,5.3,4.9,-,6.0,5.6,6.1
Okko's Inn,7.0,"1,794",978,257,4,225,666,282,2,153,512,241,1,59,139,32,tt8328740,7.5,7.0,7.0,7.0,8.0,6.8,7.0,7.0,6.0,7.4,7.1,6.9
ONE PIECE,8.8,"104,964","43,719","5,395",271,"20,664","22,495","2,010",199,"17,783","19,509","1,515",29,"1,953","2,556",423,tt0388629,8.1,9.1,8.8,7.2,8.3,9.1,8.8,7.2,5.4,8.9,8.5,6.8
The Search,6.8,"2,755","1,814",393,0,332,"1,138",649,0,254,903,558,0,70,210,75,tt2177827,-,7.3,6.6,6.9,-,7.2,6.5,6.8,-,7.9,7.3,7.3
The Woods,6.6,"255,939","159,433","39,931",45,"21,116","134,280","38,313",34,"15,390","106,438","31,162",9,"5,230","26,285","6,538",tt0368447,6.2,6.5,6.5,6.6,6.2,6.5,6.5,6.5,6.2,6.8,6.7,6.9
From A to B,5.9,"1,316",744,126,0,297,406,56,0,247,343,47,0,46,56,6,tt1666287,-,6.3,5.7,6.3,-,6.3,5.6,6.1,-,6.6,6.3,7.8
Menahi,6.7,51,25,1,0,16,10,0,0,15,8,0,0,1,0,0,tt9600178,-,6.4,5.3,-,-,6.2,4.9,-,-,10.0,-,-
Curon,5.9,"3,982","1,677",763,10,435,"1,147",653,7,250,753,467,3,156,354,157,tt10101518,3.6,6.1,5.9,5.7,4.9,5.9,5.7,5.7,2.7,6.4,6.1,5.8
DC's Legends of Tomorrow,6.9,"101,489","51,138","12,486",89,"17,930","27,660","10,338",65,"14,109","21,687","8,004",12,"3,263","5,396","2,125",tt4532368,6.3,7.1,6.7,6.6,6.4,7.0,6.6,6.5,4.8,7.5,7.1,7.2
