Title,Avg,Total,Total_males,Total_Females,All_below_18,All_18_29,All_30_44,All_over_45,Males_below_18,Males_18_29,Males_30_44,Males_over_45,Females_below_18,Females_18_29,Females_30_44,Females_over_45,Title_ID,All_rank_below_18,All_rank_18_29,All_rank_30_44,All_rank_over_45,Males_rank_below_18,Males_rank_18_29,Males_rank_30_44,Males_rank_over_45,Females_rank_below_18,Females_rank_18_29,Females_rank_30_44,Females_rank_over_45
Dick Johnson Is Dead,7.4,"6,241","3,780",592,12,"1,050","2,321",817,10,896,"1,987",665,1,126,283,130,tt11394180,7.6,7.7,7.4,7.1,7.9,7.7,7.4,7.1,8.0,7.8,7.4,7.3
Blood & Water,6.7,"2,952",603,867,10,416,644,281,4,127,247,141,5,251,368,125,tt9839146,5.7,6.9,6.5,5.8,5.5,6.6,5.9,4.9,5.0,6.9,7.0,7.0
Ganglands,7.0,"2,349","1,297",117,1,99,574,648,1,78,516,566,0,11,35,60,tt13278100,6.0,6.8,6.9,7.0,6.0,6.9,6.8,7.0,-,5.8,6.9,7.0
Jailbirds New Orleans,6.7,194,57,60,0,19,63,30,0,6,29,17,0,12,31,11,tt15320436,-,6.3,6.6,6.8,-,6.4,6.3,6.6,-,6.2,6.9,6.9
Kota Factory,9.3,"66,527","19,278",984,144,"10,004","5,687",340,134,"9,123","5,316",285,7,405,254,46,tt9432978,9.1,9.2,8.5,6.3,9.6,9.2,8.5,6.4,4.3,9.2,7.5,5.7
Midnight Mass,7.7,"97,937","41,872","15,979",26,"9,863","30,130","13,173",15,"6,662","21,348","9,097",6,"2,638","7,818","3,624",tt10574558,7.0,7.9,7.6,7.6,8.2,7.9,7.6,7.5,4.8,7.7,7.6,7.7
My Little Pony: A New Generation,6.9,"3,274",966,621,21,382,884,176,10,226,502,125,9,132,353,45,tt10101702,6.6,6.9,6.8,5.9,6.6,6.7,6.5,5.4,5.9,7.2,7.5,7.6
Sankofa,7.0,662,353,135,0,33,245,207,0,24,175,145,0,9,64,58,tt0108041,-,6.8,6.9,7.1,-,6.9,6.7,6.8,-,6.6,7.9,8.1
The Great British Baking Show,8.6,"9,534","2,924","2,961",8,"1,098","2,699","1,626",3,509,"1,332",797,4,553,"1,296",789,tt1877368,7.0,8.5,8.5,8.6,7.0,8.3,8.2,8.2,7.3,8.8,8.9,9.1
The Starling,6.3,"11,613","3,888","3,372",2,750,"3,403","2,625",1,314,"1,783","1,435",1,368,"1,521","1,116",tt5164438,5.0,6.1,6.1,6.5,4.0,5.8,5.9,6.2,6.0,6.4,6.5,7.2
"Vendetta: Truth, Lies and The Mafia",6.7,240,159,7,0,19,82,54,0,16,78,51,0,2,1,3,tt14216574,-,7.1,6.5,6.7,-,7.1,6.5,6.9,-,10.0,7.0,3.3
Bangkok Breaking,5.9,265,142,19,1,36,57,58,0,27,50,50,0,6,4,6,tt14202282,6.0,6.3,5.6,5.6,-,6.1,5.6,5.4,-,6.6,6.8,6.8
Je Suis Karl,5.4,789,430,81,1,74,216,192,1,54,183,164,0,15,28,24,tt9205538,4.0,5.6,5.5,5.3,4.0,5.6,5.3,5.2,-,5.8,6.1,5.8
Confessions of an Invisible Girl,5.2,884,253,234,3,150,239,70,0,50,119,59,3,84,115,11,tt15204288,4.7,5.1,5.3,4.9,-,5.0,5.3,5.0,4.7,5.3,5.4,4.9
Crime Stories: India Detectives,7.2,907,437,62,0,135,263,52,0,117,221,38,0,13,32,11,tt14178956,-,7.4,7.0,7.3,-,7.5,7.0,7.2,-,5.6,6.9,7.3
Dear White People,6.1,"24,825","10,342","6,101",13,"4,492","7,920","2,241",5,"2,349","5,049","1,569",7,"1,997","2,723",620,tt5707802,4.5,6.9,6.0,5.1,8.8,6.1,5.4,4.6,3.5,7.8,7.5,6.7
Europe's Most Dangerous Man: Otto Skorzeny in Spain,6.9,183,117,15,0,10,62,53,0,8,57,46,0,2,5,6,tt11564588,-,6.2,6.8,6.9,-,5.9,6.8,7.0,-,8.0,6.5,5.7
Falsa identidad,7.7,"1,412",771,204,0,80,346,463,0,60,266,361,0,17,73,93,tt3602528,-,7.9,7.8,7.6,-,8.2,7.8,7.6,-,6.5,7.9,7.9
Intrusion,5.3,"14,567","6,053","2,315",1,"1,228","4,588","2,077",0,719,"3,271","1,567",1,434,"1,182",442,tt5563324,10.0,5.2,5.2,5.3,-,5.1,5.1,5.2,10.0,5.3,5.3,5.5
Jaguar,5.8,"1,626",693,210,1,71,348,393,0,33,259,314,0,34,77,64,tt11698590,5.0,5.6,5.5,5.9,-,5.1,5.3,5.8,-,5.9,6.2,5.9
Monsters Inside: The 24 Faces of Billy Milligan,6.2,"2,815","1,119",688,2,281,"1,006",421,1,129,609,280,1,127,357,134,tt15287836,3.0,6.4,6.2,6.2,5.0,6.5,6.2,6.2,1.0,6.3,6.2,6.2
Resurrection: Ertugrul,8.4,"34,974","15,317","1,714",48,"5,618","7,078","1,434",37,"4,930","6,301","1,063",4,478,587,305,tt4320258,9.5,8.2,7.9,7.7,9.6,8.2,7.8,7.5,7.5,8.5,8.0,8.2
Avvai Shanmughi,8.0,"2,498","1,641",78,1,442,"1,082",78,1,422,"1,034",65,0,17,45,11,tt0139872,7.0,8.2,7.8,6.3,7.0,8.2,7.9,6.2,-,7.4,7.3,7.4
Go! Go! Cory Carson: Chrissy Takes the Wheel,6.8,33,21,0,0,2,13,5,0,2,13,5,0,0,0,0,tt15296598,-,9.5,4.2,5.0,-,9.5,4.2,5.0,-,-,-,-
Jeans,6.4,"3,542","2,351",423,0,530,"1,886",235,0,468,"1,634",127,0,55,247,106,tt0151121,-,7.1,6.1,5.2,-,7.2,6.1,5.1,-,6.7,6.1,5.5
Love on the Spectrum,8.6,"5,127","1,808","1,449",2,726,"1,781",550,2,335,996,329,0,348,746,206,tt11904786,10.0,8.5,8.6,8.7,10.0,8.5,8.5,8.7,-,8.6,8.7,8.8
Minsara Kanavu,6.8,"1,201",785,125,0,169,635,70,0,147,554,47,0,21,78,21,tt0274789,-,7.0,6.7,6.0,-,7.1,6.7,5.8,-,6.4,7.2,6.3
Grown Ups,5.9,"244,474","151,360","37,614",122,"49,741","109,298","20,736",87,"36,520","88,418","17,097",19,"12,034","19,656","3,324",tt1375670,5.9,6.2,5.8,5.6,5.9,6.1,5.8,5.6,5.3,6.7,6.1,6.0
Dark Skies,6.3,"74,725","47,795","13,632",8,"9,112","36,766","12,434",6,"6,407","28,377","10,120",2,"2,544","7,930","2,114",tt2387433,6.2,6.4,6.3,6.3,5.8,6.3,6.2,6.2,8.5,6.5,6.4,6.5
Paranoia,6.5,"118,801","83,199","15,393",20,"13,418","64,860","17,641",12,"10,424","54,625","15,053",6,"2,759","9,550","2,348",tt0455407,6.6,6.5,6.5,6.5,6.2,6.5,6.5,6.5,7.1,6.4,6.4,6.8
Ankahi Kahaniya,5.6,819,401,50,0,98,258,44,0,88,228,38,0,10,24,5,tt15250998,-,5.7,5.7,4.8,-,5.7,5.7,4.5,-,5.0,5.3,6.7
Chicago Party Aunt,5.3,"1,301",532,179,2,154,356,134,1,92,276,103,1,52,70,30,tt15125616,8.5,5.3,5.1,5.3,10.0,5.3,5.0,5.2,7.0,5.7,5.5,5.6
Sex Education,8.4,"252,738","89,997","40,162",518,"48,084","56,511","15,060",297,"29,370","36,957","10,583",133,"14,089","17,069","3,797",tt7767422,8.3,8.4,8.3,8.3,8.3,8.3,8.3,8.2,8.2,8.6,8.5,8.6
Squid Game,8.1,"406,027","162,411","40,515",822,"59,359","101,587","25,433",567,"42,405","79,542","19,900",140,"12,387","18,513","4,541",tt10919420,8.2,8.1,8.0,7.9,8.2,8.0,8.0,7.8,8.1,8.2,8.1,8.2
Tayo and Little Wizards,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT FOUND,0,0,0,0,0,0,0,0,0,0,0,0
The Father Who Moves Mountains,5.6,"3,244","1,670",476,2,304,"1,069",630,1,202,809,485,0,86,226,124,tt8886670,5.5,6.1,5.7,5.4,10.0,6.1,5.8,5.4,-,5.9,5.6,5.3
The Stronghold,6.9,"8,589","5,171",436,5,713,"2,909","1,784",4,559,"2,618","1,617",1,78,206,116,tt10404944,6.2,7.0,6.8,6.8,6.8,7.0,6.8,6.8,7.0,7.0,6.8,7.2
Angry Birds,6.3,"89,165","49,994","10,605",190,"15,028","32,899","7,471",154,"11,761","26,979","6,352",23,"2,888","5,469",994,tt1985949,6.2,6.4,6.2,6.1,6.2,6.3,6.2,6.1,6.0,6.7,6.5,6.4
Birth of the Dragon,5.6,"8,065","5,527",395,3,637,"3,046","1,705",2,585,"2,822","1,553",1,40,178,129,tt2720826,4.0,5.3,5.5,5.8,5.0,5.3,5.5,5.8,2.0,5.1,5.4,5.8
Chhota Bheem,4.1,813,228,20,4,130,62,4,3,122,54,3,1,6,7,1,tt4570986,3.2,3.9,5.1,3.5,4.0,3.8,5.1,4.3,1.0,5.9,6.4,1.0
He-Man and the Masters of the Universe,5.9,"1,494",870,67,2,81,568,212,2,65,519,185,0,13,34,17,tt11465278,5.0,6.1,5.9,5.3,5.0,6.2,5.8,5.2,-,6.6,6.6,5.8
Jaws,8.1,"575,906","357,792","64,636",272,"68,980","235,760","98,514",205,"55,141","198,880","82,880",44,"12,443","34,172","14,110",tt0073195,8.3,7.9,8.0,8.4,8.3,8.0,8.1,8.4,8.3,7.5,7.6,8.3
Jaws 2,5.8,"76,634","50,203","7,494",39,"6,033","31,546","18,216",30,"4,931","27,308","15,691",6,955,"3,915","2,266",tt0077766,5.3,5.6,5.7,5.8,5.4,5.6,5.7,5.8,5.0,5.8,5.8,6.1
Jaws 3,3.7,"43,117","28,204","3,577",25,"3,435","16,756","10,525",21,"2,903","14,822","9,185",2,452,"1,739","1,201",tt0085750,2.4,3.4,3.7,3.8,2.5,3.3,3.6,3.7,1.0,3.9,4.1,4.3
Jaws: The Revenge,3.0,"45,131","29,673","4,106",26,"3,332","18,741","10,680",22,"2,860","16,407","9,149",2,406,"2,133","1,392",tt0093300,2.0,2.6,3.1,2.9,2.0,2.6,3.0,2.9,2.0,3.6,3.6,3.6
My Heroes Were Cowboys,6.7,241,103,39,0,21,58,58,0,12,46,35,0,5,10,20,tt15084326,-,6.6,6.2,6.9,-,6.2,6.0,6.1,-,8.5,7.0,8.4
Safe House,6.7,"219,291","157,574","21,364",26,"25,544","113,569","31,535",20,"22,145","99,331","26,925",4,"2,931","12,819","4,091",tt1599348,6.4,6.8,6.7,6.7,6.3,6.8,6.7,6.7,6.2,6.7,6.7,6.9
The Smart Money Woman,7.7,102,21,24,0,7,26,10,0,3,11,5,0,4,14,5,tt12428002,-,6.5,7.3,3.0,-,7.7,7.5,1.2,-,6.2,7.0,6.0
Training Day,7.7,"420,144","293,983","27,859",83,"45,854","212,129","50,141",75,"41,592","192,155","43,604",3,"3,112","17,462","5,686",tt0139654,8.2,7.9,7.8,7.4,8.3,7.9,7.8,7.4,5.7,7.6,7.4,7.4
Castle and Castle,7.2,136,43,31,0,8,20,33,0,6,14,14,0,2,5,18,tt9898916,-,8.3,6.8,5.5,-,8.7,6.4,5.8,-,8.0,10.0,5.1
Dharmakshetra,8.2,245,108,16,0,21,78,5,0,17,66,5,0,3,8,0,tt6803712,-,7.9,8.5,9.0,-,8.2,8.4,9.0,-,4.3,9.0,-
InuYasha the Movie 2: The Castle Beyond the Looking Glass,7.4,"2,110",990,613,1,371,992,185,0,185,625,133,1,174,356,47,tt0366621,6.0,7.7,7.2,7.0,-,7.5,7.0,6.8,6.0,8.0,7.8,7.9
InuYasha the Movie 3: Swords of an Honorable Ruler,7.7,"2,190","1,071",596,1,379,"1,049",173,0,200,687,131,1,170,350,38,tt0396659,6.0,7.9,7.5,7.1,-,7.7,7.4,6.8,6.0,8.2,8.0,8.6
InuYasha the Movie 4: Fire on the Mystic Island,7.2,"1,804",875,494,1,331,834,151,0,173,551,116,1,150,277,32,tt0473658,6.0,7.5,7.1,6.7,-,7.3,6.9,6.5,6.0,8.0,7.6,7.7
InuYasha the Movie: Affections Touching Across Time,7.2,"2,550","1,255",693,1,418,"1,240",210,0,217,823,155,1,191,409,51,tt0322645,6.0,7.6,7.1,6.8,-,7.3,6.9,6.7,6.0,8.1,7.6,7.6
Nailed It,7.4,"4,604","1,410","1,607",4,694,"1,590",419,3,270,740,220,1,399,823,191,tt6987788,8.5,7.5,7.4,7.2,9.3,7.5,7.2,7.0,6.0,7.6,7.5,7.4
Naruto Shippuden the Movie: Blood Prison,7.2,"4,956","2,793",421,5,"1,418","1,361",173,4,"1,182","1,198",146,1,207,150,24,tt1999167,5.5,7.4,6.9,6.3,7.5,7.4,6.9,6.3,4.0,7.5,7.1,6.4
Naruto Shippûden the Movie: Bonds,6.8,"3,956","2,240",600,6,926,"1,620",139,5,746,"1,226",112,0,163,386,23,tt0988982,7.5,6.8,6.8,6.3,7.5,6.8,6.7,6.3,-,7.1,7.0,5.8
Naruto Shippûden the Movie: The Will of Fire,7.1,"3,571","1,988",326,5,968,"1,016",127,4,801,875,114,1,148,131,12,tt1481363,5.3,7.2,6.9,6.3,7.0,7.2,6.9,6.4,4.0,7.5,7.5,5.8
Naruto Shippuden: The Movie,6.8,"3,956","2,240",600,6,926,"1,620",139,5,746,"1,226",112,0,163,386,23,tt0988982,7.5,6.8,6.8,6.3,7.5,6.8,6.7,6.3,-,7.1,7.0,5.8
Naruto Shippuden: The Movie: The Lost Tower,6.9,"3,511","1,908",276,6,926,938,113,4,776,820,106,1,130,109,5,tt1703048,5.3,7.1,6.8,6.2,6.5,7.0,6.7,6.2,4.0,7.3,7.3,4.7
Naruto the Movie 2: Legend of the Stone of Gelel,6.5,"4,232","2,506",435,8,"1,048","1,525",162,7,850,"1,306",143,1,179,205,15,tt0791188,5.2,6.6,6.4,6.4,6.3,6.5,6.4,6.4,3.0,7.1,6.5,6.5
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,6.4,"3,911","2,273",404,6,985,"1,348",145,5,793,"1,158",126,1,171,175,16,tt1071815,4.4,6.6,6.2,6.2,5.5,6.5,6.2,6.2,3.0,7.1,6.6,5.7
Naruto the Movie: Ninja Clash in the Land of Snow,6.7,"6,660","3,829",776,11,"1,536","2,543",232,9,"1,227","2,105",197,1,277,412,30,tt0476680,6.5,6.8,6.5,6.6,7.7,6.8,6.5,6.6,3.0,7.1,6.6,5.4
Nightbooks,5.7,"7,942","3,865","1,167",6,724,"2,856","1,130",5,489,"2,148",887,0,197,637,209,tt10521144,6.7,5.8,5.7,5.7,6.6,5.7,5.6,5.6,-,6.0,5.9,6.5
Numberblocks,8.5,186,64,36,3,4,57,21,2,2,31,17,1,2,23,4,tt7978538,9.7,8.7,8.6,8.4,9.5,9.0,8.7,8.3,10.0,8.5,8.4,9.5
Raja Rasoi Aur Anya Kahaniyan,9.0,320,166,25,0,40,124,8,0,32,110,4,0,7,13,4,tt6953924,-,8.8,8.8,8.4,-,9.0,8.8,8.5,-,8.0,8.9,9.5
Saved by the Bell,7.1,"34,591","18,632","8,611",2,"2,477","19,297","4,424",0,"1,241","13,154","3,337",1,"1,196","5,914","1,025",tt0096694,8.0,7.3,7.3,6.2,-,7.1,7.2,6.1,9.0,7.6,7.4,6.3
Schumacher,7.5,"20,751","12,592","1,109",9,"3,168","7,913","1,725",9,"2,726","7,134","1,557",0,275,610,118,tt10322274,7.5,7.5,7.4,7.3,7.5,7.5,7.4,7.3,-,7.8,7.5,7.6
Stories by Rabindranath Tagore,8.8,"1,292",623,185,0,200,430,64,0,161,334,39,0,36,93,24,tt4853764,-,8.8,8.7,8.6,-,8.8,8.7,8.5,-,8.7,8.7,8.3
Too Hot To Handle: Latino,5.3,242,100,52,0,48,82,15,0,22,55,14,0,23,26,1,tt15251764,-,5.5,5.5,3.0,-,5.9,5.5,2.9,-,5.0,5.6,7.0
A StoryBots Space Adventure,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt15166478,0,0,0,0,0,0,0,0,0,0,0,0
Jack Whitehall: Travels with My Father,7.6,"5,298","2,229","1,273",1,827,"1,759",646,0,489,"1,114",404,1,303,604,229,tt7453996,10.0,7.6,7.6,7.5,-,7.6,7.4,7.4,10.0,7.8,7.9,7.9
King of Boys,6.1,404,145,52,1,34,89,37,1,24,63,28,0,7,21,8,tt8329618,10.0,6.1,5.6,5.4,10.0,5.6,4.8,5.0,-,7.7,8.1,8.9
The World's Most Amazing Vacation Rentals,6.7,"1,233",447,329,1,134,412,171,0,65,232,98,0,60,170,66,tt14691382,10.0,6.8,6.6,6.8,-,7.0,6.4,6.8,-,6.6,6.8,7.0
You vs. Wild: Out Cold,5.4,258,136,25,0,50,78,26,0,39,63,23,0,8,14,3,tt15250050,-,5.7,5.7,4.1,-,6.0,5.5,4.3,-,5.2,6.5,3.3
Yowamushi Pedal,7.8,788,377,101,1,161,247,30,1,128,186,26,0,27,57,4,tt2942228,7.0,8.0,7.6,7.8,7.0,8.0,7.6,7.8,-,7.9,7.6,7.7
Little Singham - Black Shadow,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT FOUND,0,0,0,0,0,0,0,0,0,0,0,0
Tughlaq Durbar,5.4,"1,543",521,18,5,154,281,20,5,150,271,18,0,0,9,2,tt9769668,7.9,5.4,5.3,5.0,7.9,5.4,5.3,5.0,-,-,7.1,8.0
Tughlaq Durbar (Telugu),0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT FOUND,0,0,0,0,0,0,0,0,0,0,0,0
Firedrake the Silver Dragon,5.6,"1,502",796,182,3,131,550,229,0,96,441,196,1,30,94,30,tt7080422,4.3,5.5,5.5,5.6,-,5.5,5.4,5.5,8.0,5.9,6.3,6.2
Kate,6.2,"55,423","31,483","4,383",29,"4,667","19,537","9,101",16,"3,676","16,876","7,921",6,768,"2,188",903,tt7737528,6.8,6.2,6.1,6.3,6.7,6.1,6.1,6.3,6.6,6.3,6.3,6.4
Lucifer,8.2,"305,008","109,218","57,639",377,"48,033","71,466","29,745",226,"29,878","44,443","17,946",73,"14,207","24,219","10,661",tt4052886,8.4,8.4,8.0,8.0,8.4,8.3,7.9,7.8,7.6,8.6,8.3,8.6
Metal Shop Masters,5.5,533,195,92,0,44,160,66,0,21,112,46,0,20,44,17,tt15216520,-,5.5,5.4,5.4,-,5.2,5.4,5.4,-,5.7,5.4,5.6
Omo Ghetto: the Saga,7.2,50,16,2,1,2,8,3,0,2,7,3,1,0,1,0,tt14099462,10.0,8.5,4.3,4.3,-,8.5,4.5,4.3,10.0,-,1.0,-
Pokémon Master Journeys: The Series,7.5,53,15,3,0,5,7,2,0,4,5,2,0,1,2,0,tt15416672,-,7.9,7.4,7.0,-,7.8,8.0,7.0,-,10.0,8.5,-
Prey,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt11866324,0,0,0,0,0,0,0,0,0,0,0,0
Titipo Titipo,6.4,16,10,0,0,1,8,0,0,1,8,0,0,0,0,0,tt12987396,-,1.0,6.6,-,-,1.0,6.6,-,-,-,-,-
Blood Brothers: Malcolm X & Muhammad Ali,6.9,861,521,63,0,93,294,150,0,77,260,131,0,11,28,16,tt15095938,-,6.8,6.7,7.1,-,6.7,6.8,7.1,-,7.7,6.4,7.3
Mighty Raju,4.2,56,8,2,0,3,1,2,0,3,0,2,0,0,1,0,tt6491030,-,1.0,5.0,3.0,-,1.0,-,3.0,-,-,5.0,-
Paradise Hills,5.3,"22,082","6,748","3,464",8,"1,558","6,194","2,011",2,694,"4,229","1,457",5,806,"1,858",506,tt6127004,7.0,5.5,5.2,5.1,8.0,5.4,5.1,5.0,6.6,5.6,5.6,5.5
The Women and the Murderer,6.4,"1,109",521,259,0,94,421,218,0,36,279,164,0,53,134,51,tt15216504,-,6.2,6.3,6.5,-,6.0,6.2,6.4,-,6.4,6.4,6.5
Into the Night,7.1,"29,529","14,680","3,446",40,"3,639","9,112","3,784",32,"2,667","7,164","3,005",3,723,"1,630",651,tt10919486,6.6,7.3,7.0,6.9,7.4,7.3,7.0,6.8,6.0,7.4,7.1,7.3
JJ+E,5.3,"1,556",595,273,4,267,426,134,2,128,295,108,1,118,111,22,tt12299824,4.2,5.6,5.2,5.2,6.0,5.7,5.2,5.2,1.0,5.3,5.5,5.4
Show Dogs,3.9,"4,644","2,156",894,7,538,"1,337",855,5,376,942,609,1,150,382,228,tt5691024,3.0,3.3,3.9,4.1,3.6,2.9,3.7,4.1,1.0,4.9,4.5,4.7
The Circle,5.3,"90,687","50,357","15,570",40,"12,282","35,657","13,199",24,"8,144","26,977","10,794",11,"3,816","8,036","2,113",tt4287320,5.1,5.3,5.2,5.5,5.2,5.2,5.2,5.5,4.8,5.5,5.4,5.6
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,7.8,"1,292",816,104,0,60,332,470,0,51,294,410,0,7,31,56,tt6214722,-,7.9,7.6,7.8,-,7.9,7.6,7.8,-,8.1,7.9,8.1
Kid Cosmic,8.0,"1,297",502,127,10,181,297,92,6,142,234,73,3,32,56,18,tt9248538,8.6,8.0,7.7,7.4,8.3,8.0,7.8,7.5,7.0,8.2,7.6,6.7
Octonauts: Above & Beyond,7.3,64,25,14,1,2,24,9,1,1,16,5,0,1,8,3,tt15211330,10.0,9.0,6.0,4.2,10.0,8.0,4.7,5.0,-,10.0,8.4,6.3
On the Verge,6.5,"2,818",479,"1,179",0,114,799,638,0,32,205,206,0,71,565,409,tt5540990,-,6.4,6.5,6.2,-,5.7,5.9,5.6,-,6.7,6.8,6.6
Tobot Galaxy Detectives,7.0,13,6,1,0,2,2,3,0,2,2,2,0,0,0,1,tt12892186,-,10.0,3.5,5.0,-,10.0,3.5,8.0,-,-,-,2.0
Untold: Breaking Point,7.6,"2,336","1,414",187,0,265,981,275,0,214,857,228,0,34,97,37,tt15101938,-,7.6,7.6,7.5,-,7.7,7.5,7.4,-,7.7,7.7,7.8
Countdown: Inspiration4 Mission to Space,7.9,"1,559",890,106,0,164,536,213,0,138,473,183,0,17,53,25,tt15166116,-,8.1,7.8,7.8,-,8.1,7.8,7.8,-,7.4,7.5,7.4
Shadow Parties,5.7,8,5,1,0,0,2,3,0,0,0,3,0,0,1,0,tt10168094,-,10.0,10.0,5.0,-,10.0,-,5.0,-,-,10.0,-
Tayo the Little Bus,5.4,156,68,41,1,16,60,16,1,11,38,11,0,4,21,5,tt3270208,10.0,5.5,6.3,2.8,10.0,5.4,6.3,3.1,-,5.0,6.5,5.0
Angamaly Diaries,8.0,"5,878","3,513",115,3,"1,389","1,564",136,3,"1,348","1,504",124,0,26,46,10,tt6167894,8.0,8.2,7.8,6.6,8.0,8.2,7.8,6.6,-,7.2,7.6,7.7
Bunk'd,5.5,"3,109",876,562,20,447,487,351,13,220,294,248,5,200,183,93,tt4591680,6.1,5.3,5.5,5.3,5.6,4.7,5.1,5.0,7.6,6.4,6.3,6.7
A Champion Heart,6.0,387,155,103,0,18,93,126,0,5,63,72,0,12,30,51,tt4738912,-,5.6,5.6,6.1,-,7.0,5.4,5.6,-,5.4,6.1,7.1
Dive Club,6.3,747,204,174,0,75,149,124,0,19,76,94,0,53,70,25,tt13275052,-,6.3,6.0,6.0,-,6.0,5.9,5.8,-,6.5,6.1,6.7
La casa de papel,8.3,"448,988","178,584","47,027",823,"78,710","101,816","23,570",551,"54,662","77,893","18,370",134,"16,942","19,378","4,087",tt6468322,8.1,8.4,8.2,8.1,8.2,8.3,8.1,8.0,6.8,8.7,8.5,8.3
Money Heist: From Tokyo to Berlin,7.7,777,301,90,4,122,187,58,2,67,147,49,1,39,35,5,tt15384346,8.5,8.0,7.4,7.6,8.5,8.2,7.3,7.5,8.0,7.9,7.8,8.4
Sharkdog,6.3,123,48,15,1,9,42,11,1,5,32,9,0,2,9,2,tt12211696,8.0,7.4,6.1,4.9,8.0,7.5,6.0,5.4,-,8.0,6.5,6.0
Worth,6.8,"12,616","6,633","1,584",2,"1,045","4,197","2,498",2,786,"3,390","1,899",0,193,710,530,tt8009744,6.5,6.8,6.7,6.9,6.5,6.8,6.7,6.8,-,6.8,6.7,7.2
Afterlife of the Party,5.8,"7,902","2,563","2,166",9,"1,184","2,375",907,2,459,"1,251",624,5,650,"1,058",247,tt11742798,4.4,5.9,5.6,5.8,9.0,5.8,5.4,5.7,2.7,6.0,5.9,6.2
Anjaam,7.0,"6,402","4,374",560,2,989,"3,372",373,2,867,"3,033",283,0,113,325,87,tt0109134,8.0,7.5,6.8,6.0,8.0,7.5,6.7,5.7,-,6.8,7.0,6.9
Bright Star,6.9,"27,010","11,457","11,084",4,"3,104","13,550","5,582",3,909,"6,552","3,716",0,"2,142","6,826","1,775",tt0810784,6.5,7.1,6.9,6.8,6.7,6.9,6.7,6.7,-,7.3,7.1,7.2
Dhanak,7.9,"3,926","2,259",443,0,585,"1,504",323,0,476,"1,273",245,0,102,209,72,tt4088588,-,8.0,7.7,7.5,-,8.0,7.8,7.4,-,7.8,7.7,8.0
Final Account,7.2,871,514,85,1,53,264,262,0,38,211,235,1,11,44,25,tt12789212,7.0,6.7,7.0,7.4,-,6.5,7.1,7.3,7.0,7.0,6.5,8.1
Gurgaon,6.5,"2,151","1,387",105,0,356,887,90,0,339,823,80,0,14,52,10,tt4699202,-,6.8,6.4,5.9,-,6.8,6.4,5.8,-,6.6,6.1,5.9
Here and There,6.6,47,17,12,0,8,12,7,0,3,7,4,0,5,4,2,tt14766058,-,6.1,6.7,6.1,-,6.3,7.1,7.2,-,5.9,7.0,5.5
Heroes of Goo Jit Zu,7.5,23,7,4,1,2,4,3,0,2,4,0,1,0,0,3,tt10589932,6.0,5.5,5.7,7.0,-,5.5,5.7,-,6.0,-,-,7.0
Hotel Del Luna,8.3,"7,300","1,429","1,662",18,"1,093","1,192",474,9,411,559,242,8,588,587,206,tt10220588,7.4,8.3,7.9,8.3,6.9,8.4,7.7,8.3,8.2,8.2,8.0,8.2
In the Cut,5.3,"24,027","14,307","4,139",4,736,"9,566","7,926",3,498,"7,125","6,307",1,222,"2,290","1,478",tt0199626,6.7,5.8,5.2,5.4,7.0,5.9,5.2,5.4,6.0,5.8,5.7,5.7
Luv Kushh,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt6536554,0,0,0,0,0,0,0,0,0,0,0,0
Pororo - The Little Penguin,6.3,84,32,13,3,10,20,10,3,8,11,7,0,1,8,3,tt3968668,7.0,5.6,6.2,6.0,7.0,6.1,5.9,6.2,-,6.0,6.4,6.7
Q-Force,6.5,"4,761","2,145",387,10,570,"1,248",489,7,429,"1,025",422,1,104,188,46,tt10140028,6.7,6.8,6.4,6.4,7.0,6.7,6.2,6.4,10.0,7.2,7.1,6.5
Shikara,3.6,"8,294","3,636",236,1,"1,064","1,727",195,1,984,"1,603",168,0,49,103,23,tt10930586,1.0,3.6,3.7,4.0,1.0,3.4,3.6,3.7,-,6.1,5.6,6.2
A Cinderella Story,5.9,"85,798","22,181","42,370",25,"22,182","35,131","4,819",8,"5,071","13,264","2,899",12,"16,558","21,504","1,847",tt0356470,5.3,6.2,5.6,5.5,5.3,5.4,5.2,5.3,4.3,6.7,6.1,6.0
Agatha Christie's Crooked House,6.3,"23,158","11,505","5,448",2,"2,243","8,605","5,134",1,"1,244","5,607","3,841",1,929,"2,849","1,180",tt1869347,5.5,6.5,6.2,6.2,5.0,6.4,6.2,6.2,6.0,6.8,6.4,6.5
An Unfinished Life,7.0,"30,871","17,977","6,659",0,"1,578","13,468","9,004",0,929,"9,743","6,751",0,627,"3,574","2,121",tt0350261,-,6.9,6.9,7.1,-,6.8,6.9,7.1,-,7.1,6.9,7.4
